,UF,acesso_a_Internet,Renda_per_capita
82724,RJ,sim,350.0
82725,RJ,sim,420.0
82726,RJ,sim,1108.0
82727,RJ,não,407.0
82728,RJ,sim,340.0
82729,RJ,não,1060.0
82730,RJ,sim,547.0
82732,RJ,não,460.0
82733,RJ,não,395.0
82734,RJ,sim,666.0
82735,RJ,não,1095.0
82736,RJ,não,789.0
82737,RJ,não,790.0
82739,RJ,não,845.0
82740,RJ,não,1063.0
82741,RJ,não,534.0
82742,RJ,sim,454.0
82743,RJ,não,1000.0
82744,RJ,sim,666.0
82745,RJ,não,297.0
82746,RJ,não,833.0
82747,RJ,sim,790.0
82748,RJ,não,380.0
82749,RJ,não,1000.0
82750,RJ,não,1200.0
82751,RJ,não,400.0
82752,RJ,sim,1366.0
82753,RJ,não,550.0
82754,RJ,não,790.0
82755,RJ,sim,500.0
82756,RJ,não,433.0
82757,RJ,sim,460.0
82758,RJ,sim,1463.0
82759,RJ,não,800.0
82761,RJ,não,192.0
82763,RJ,sim,226.0
82764,RJ,sim,900.0
82765,RJ,sim,550.0
82766,RJ,não,283.0
82767,RJ,sim,1310.0
82769,RJ,sim,283.0
82770,RJ,sim,437.0
82771,RJ,não,900.0
82772,RJ,não,360.0
82773,RJ,sim,386.0
82774,RJ,sim,250.0
82775,RJ,sim,740.0
82776,RJ,sim,180.0
82777,RJ,não,166.0
82778,RJ,não,790.0
82779,RJ,sim,400.0
82780,RJ,sim,600.0
82782,RJ,não,790.0
82783,RJ,sim,1475.0
82784,RJ,não,926.0
82785,RJ,não,790.0
82786,RJ,sim,600.0
82787,RJ,sim,400.0
82788,RJ,sim,510.0
82789,RJ,sim,466.0
82790,RJ,não,550.0
82791,RJ,sim,212.0
82792,RJ,sim,866.0
82793,RJ,não,83.0
82794,RJ,não,788.0
82795,RJ,não,77.0
82796,RJ,não,692.0
82797,RJ,sim,662.0
82798,RJ,não,596.0
82799,RJ,não,412.0
82800,RJ,sim,800.0
82803,RJ,não,788.0
82804,RJ,não,2200.0
82805,RJ,não,197.0
82806,RJ,sim,1000.0
82807,RJ,não,262.0
82809,RJ,não,250.0
82810,RJ,sim,1958.0
82813,RJ,sim,966.0
82814,RJ,sim,647.0
82815,RJ,sim,1111.0
82816,RJ,não,2688.0
82817,RJ,sim,1300.0
82818,RJ,sim,753.0
82819,RJ,não,800.0
82820,RJ,não,471.0
82821,RJ,não,1538.0
82822,RJ,sim,647.0
82823,RJ,não,450.0
82825,RJ,sim,4700.0
82826,RJ,sim,706.0
82827,RJ,sim,8333.0
82829,RJ,sim,4000.0
82830,RJ,sim,1200.0
82831,RJ,sim,1696.0
82832,RJ,sim,350.0
82833,RJ,sim,2150.0
82834,RJ,sim,13333.0
82835,RJ,sim,25000.0
82836,RJ,não,1200.0
82839,RJ,sim,247.0
82840,RJ,sim,4000.0
82842,RJ,não,788.0
82843,RJ,não,3844.0
82846,RJ,não,425.0
82847,RJ,não,569.0
82848,RJ,sim,947.0
82849,RJ,não,487.0
82850,RJ,não,788.0
82851,RJ,não,100.0
82852,RJ,sim,800.0
82854,RJ,não,788.0
82855,RJ,sim,3038.0
82856,RJ,não,788.0
82857,RJ,não,1576.0
82859,RJ,não,575.0
82861,RJ,não,788.0
82862,RJ,não,788.0
82863,RJ,não,186.0
82864,RJ,não,1000.0
82866,RJ,não,2250.0
82867,RJ,não,350.0
82869,RJ,não,300.0
82871,RJ,não,354.0
82872,RJ,não,850.0
82880,RJ,sim,675.0
82881,RJ,sim,1596.0
82882,RJ,não,788.0
82885,RJ,não,1332.0
82890,RJ,sim,2500.0
82892,RJ,sim,500.0
82893,RJ,não,544.0
82894,RJ,sim,788.0
82895,RJ,não,779.0
82896,RJ,sim,1600.0
82897,RJ,sim,644.0
82898,RJ,sim,652.0
82899,RJ,sim,1166.0
82900,RJ,sim,4500.0
82901,RJ,sim,1600.0
82903,RJ,não,796.0
82905,RJ,não,97.0
82906,RJ,sim,1712.0
82907,RJ,sim,844.0
82908,RJ,sim,1250.0
82909,RJ,sim,1566.0
82913,RJ,sim,1016.0
82914,RJ,sim,772.0
82915,RJ,não,2700.0
82916,RJ,sim,1860.0
82918,RJ,sim,600.0
82919,RJ,não,1350.0
82920,RJ,não,776.0
82921,RJ,sim,2600.0
82922,RJ,não,1500.0
82923,RJ,sim,466.0
82924,RJ,não,776.0
82925,RJ,sim,1166.0
82926,RJ,não,12000.0
82927,RJ,não,589.0
82928,RJ,sim,2250.0
82929,RJ,não,1050.0
82930,RJ,sim,788.0
82931,RJ,sim,2880.0
82934,RJ,sim,7500.0
82936,RJ,sim,1500.0
82940,RJ,sim,500.0
82941,RJ,sim,2283.0
82942,RJ,sim,566.0
82943,RJ,sim,700.0
82945,RJ,não,234.0
82946,RJ,sim,984.0
82949,RJ,sim,1600.0
82950,RJ,não,600.0
82951,RJ,sim,2150.0
82952,RJ,sim,533.0
82953,RJ,sim,800.0
82954,RJ,não,400.0
82955,RJ,não,780.0
82958,RJ,não,500.0
82960,RJ,sim,1250.0
82961,RJ,não,540.0
82984,RJ,sim,1570.0
82986,RJ,não,988.0
82991,RJ,não,1900.0
82994,RJ,sim,4400.0
83001,RJ,não,1000.0
83002,RJ,sim,450.0
83003,RJ,sim,890.0
83004,RJ,sim,1987.0
83005,RJ,sim,336.0
83006,RJ,sim,2394.0
83007,RJ,não,160.0
83008,RJ,não,323.0
83009,RJ,sim,788.0
83010,RJ,sim,362.0
83011,RJ,sim,2500.0
83012,RJ,sim,1133.0
83013,RJ,não,1520.0
83014,RJ,sim,929.0
83015,RJ,sim,296.0
83016,RJ,sim,650.0
83018,RJ,sim,3200.0
83020,RJ,não,1596.0
83023,RJ,sim,500.0
83025,RJ,sim,666.0
83026,RJ,sim,3750.0
83027,RJ,não,158.0
83028,RJ,sim,600.0
83029,RJ,sim,3000.0
83030,RJ,não,1233.0
83033,RJ,sim,400.0
83034,RJ,sim,797.0
83035,RJ,sim,325.0
83036,RJ,sim,262.0
83038,RJ,não,1175.0
83039,RJ,sim,472.0
83040,RJ,sim,1500.0
83041,RJ,sim,1180.0
83042,RJ,sim,872.0
83043,RJ,sim,1500.0
83044,RJ,não,425.0
83046,RJ,sim,1000.0
83047,RJ,não,426.0
83052,RJ,sim,1269.0
83054,RJ,não,1144.0
83055,RJ,sim,397.0
83056,RJ,sim,313.0
83057,RJ,sim,1000.0
83058,RJ,não,750.0
83059,RJ,sim,357.0
83060,RJ,sim,172.0
83061,RJ,não,2500.0
83063,RJ,sim,1197.0
83064,RJ,não,1600.0
83067,RJ,não,572.0
83068,RJ,sim,100.0
83069,RJ,sim,400.0
83073,RJ,sim,697.0
83074,RJ,sim,1096.0
83075,RJ,sim,720.0
83076,RJ,não,400.0
83077,RJ,não,394.0
83078,RJ,não,929.0
83079,RJ,não,788.0
83081,RJ,sim,447.0
83083,RJ,sim,557.0
83084,RJ,não,394.0
83085,RJ,não,788.0
